As on Wed| Dec 06 2017| 23:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Australian Dollar (AUD),AUD,AUD,1                        
Australian Dollar (AUD),AUD,CAD,0.9673                        
Australian Dollar (AUD),AUD,EUR,0.6406                        
Australian Dollar (AUD),AUD,JPY,84.8851                        
Australian Dollar (AUD),AUD,PKR,79.7174                        
Australian Dollar (AUD),AUD,AED,2.7773                        
Australian Dollar (AUD),AUD,GBP,0.5651                        
Australian Dollar (AUD),AUD,USD,0.7562                        
Australian Dollar (AUD),AUD,AFN,52.1237
Australian Dollar (AUD),AUD,ALL,85.7572
Australian Dollar (AUD),AUD,DZD,87.2012
Australian Dollar (AUD),AUD,ARS,13.0425
Australian Dollar (AUD),AUD,BSD,0.7562
Australian Dollar (AUD),AUD,BHD,0.2843
Australian Dollar (AUD),AUD,BDT,62.7365
Australian Dollar (AUD),AUD,BBD,1.5125
Australian Dollar (AUD),AUD,BMD,0.7562
Australian Dollar (AUD),AUD,BRL,2.4469
Australian Dollar (AUD),AUD,BGN,1.253
Australian Dollar (AUD),AUD,XOF,420.236
Australian Dollar (AUD),AUD,XAF,420.236
Australian Dollar (AUD),AUD,CLP,494.4296
Australian Dollar (AUD),AUD,CNY,5.0023
Australian Dollar (AUD),AUD,COP,2275.3955
Australian Dollar (AUD),AUD,XPF,76.4494
Australian Dollar (AUD),AUD,CRC,427.9584
Australian Dollar (AUD),AUD,HRK,4.835
Australian Dollar (AUD),AUD,CZK,16.4141
Australian Dollar (AUD),AUD,DKK,4.7675
Australian Dollar (AUD),AUD,DOP,36.3348
Australian Dollar (AUD),AUD,XCD,2.0418
Australian Dollar (AUD),AUD,EGP,13.4515
Australian Dollar (AUD),AUD,EEK,0.7562
Australian Dollar (AUD),AUD,FJD,1.577
Australian Dollar (AUD),AUD,HKD,5.9084
Australian Dollar (AUD),AUD,HUF,201.3446
Australian Dollar (AUD),AUD,ISK,79.0495
Australian Dollar (AUD),AUD,XDR,0.5349
Australian Dollar (AUD),AUD,INR,48.8001
Australian Dollar (AUD),AUD,IDR,10240.2425
Australian Dollar (AUD),AUD,IRR,26697.2095
Australian Dollar (AUD),AUD,IQD,904.2391
Australian Dollar (AUD),AUD,ILS,2.659
Australian Dollar (AUD),AUD,JMD,94.7587
Australian Dollar (AUD),AUD,JOD,0.5362
Australian Dollar (AUD),AUD,KES,77.8158
Australian Dollar (AUD),AUD,KWD,0.2282
Australian Dollar (AUD),AUD,LBP,1140.0191
Australian Dollar (AUD),AUD,MYR,3.0821
Australian Dollar (AUD),AUD,MUR,25.5186
