As on Sat| Nov 04 2017| 14:15 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Australian Dollar (AUD),AUD,AUD,1                        
Australian Dollar (AUD),AUD,CAD,0.9766                        
Australian Dollar (AUD),AUD,EUR,0.6591                        
Australian Dollar (AUD),AUD,JPY,87.2976                        
Australian Dollar (AUD),AUD,PKR,80.666                        
Australian Dollar (AUD),AUD,AED,2.8101                        
Australian Dollar (AUD),AUD,GBP,0.5854                        
Australian Dollar (AUD),AUD,USD,0.7655                        
Australian Dollar (AUD),AUD,AFN,52.3326
Australian Dollar (AUD),AUD,ALL,87.9611
Australian Dollar (AUD),AUD,DZD,88.8369
Australian Dollar (AUD),AUD,ARS,13.4921
Australian Dollar (AUD),AUD,BSD,0.7655
Australian Dollar (AUD),AUD,BHD,0.2884
Australian Dollar (AUD),AUD,BDT,63.486
Australian Dollar (AUD),AUD,BBD,1.531
Australian Dollar (AUD),AUD,BMD,0.7655
Australian Dollar (AUD),AUD,BRL,2.5364
Australian Dollar (AUD),AUD,BGN,1.2844
Australian Dollar (AUD),AUD,XOF,432.3573
Australian Dollar (AUD),AUD,XAF,432.3573
Australian Dollar (AUD),AUD,CLP,485.6951
Australian Dollar (AUD),AUD,CNY,5.0783
Australian Dollar (AUD),AUD,COP,2323.2639
Australian Dollar (AUD),AUD,XPF,78.6545
Australian Dollar (AUD),AUD,CRC,436.8716
Australian Dollar (AUD),AUD,HRK,4.9651
Australian Dollar (AUD),AUD,CZK,16.9175
Australian Dollar (AUD),AUD,DKK,4.9092
Australian Dollar (AUD),AUD,DOP,36.1322
Australian Dollar (AUD),AUD,XCD,2.0648
Australian Dollar (AUD),AUD,EGP,13.5105
Australian Dollar (AUD),AUD,EEK,0.7655
Australian Dollar (AUD),AUD,FJD,1.6025
Australian Dollar (AUD),AUD,HKD,5.971
Australian Dollar (AUD),AUD,HUF,205.8349
Australian Dollar (AUD),AUD,ISK,81.4081
Australian Dollar (AUD),AUD,XDR,0.5455
Australian Dollar (AUD),AUD,INR,49.4169
Australian Dollar (AUD),AUD,IDR,10332.6603
Australian Dollar (AUD),AUD,IRR,26764.2744
Australian Dollar (AUD),AUD,IQD,892.9104
Australian Dollar (AUD),AUD,ILS,2.69
Australian Dollar (AUD),AUD,JMD,96.7456
Australian Dollar (AUD),AUD,JOD,0.5428
Australian Dollar (AUD),AUD,KES,79.4543
Australian Dollar (AUD),AUD,KWD,0.2317
Australian Dollar (AUD),AUD,LBP,1154.5436
Australian Dollar (AUD),AUD,MYR,3.2423
Australian Dollar (AUD),AUD,MUR,26.5428
Australian Dollar (AUD),AUD,MXN,14.7531
Australian Dollar (AUD),AUD,MAD,7.2888
Australian Dollar (AUD),AUD,NZD,1.1083
Australian Dollar (AUD),AUD,NOK,6.2576
Australian Dollar (AUD),AUD,OMR,0.2946
Australian Dollar (AUD),AUD,PEN,2.5015
Australian Dollar (AUD),AUD,PHP,39.2643
Australian Dollar (AUD),AUD,PLN,2.7998
Australian Dollar (AUD),AUD,QAR,2.787
Australian Dollar (AUD),AUD,RON,3.0215
Australian Dollar (AUD),AUD,RUB,45.2594
Australian Dollar (AUD),AUD,SAR,2.88
Australian Dollar (AUD),AUD,SGD,1.0447
Australian Dollar (AUD),AUD,SKK,0.7655
Australian Dollar (AUD),AUD,ZAR,10.9053
Australian Dollar (AUD),AUD,KRW,853.6384
Australian Dollar (AUD),AUD,LKR,117.5775
Australian Dollar (AUD),AUD,SDG,5.1079
Australian Dollar (AUD),AUD,SEK,6.4676
Australian Dollar (AUD),AUD,CHF,0.766
Australian Dollar (AUD),AUD,TWD,23.1145
Australian Dollar (AUD),AUD,THB,25.4465
Australian Dollar (AUD),AUD,TTD,5.1354
Australian Dollar (AUD),AUD,TND,1.9137
Australian Dollar (AUD),AUD,TRY,2.9777
Australian Dollar (AUD),AUD,VEF,8.4384
Australian Dollar (AUD),AUD,VND,17367.5241
Australian Dollar (AUD),AUD,ZMK,0.7655
Canadian Dollar (CAD),CAD,AUD,1.024                        
Canadian Dollar (CAD),CAD,CAD,1                        
Canadian Dollar (CAD),CAD,EUR,0.6749                        
Canadian Dollar (CAD),CAD,JPY,89.3914                        
Canadian Dollar (CAD),CAD,PKR,82.6008                        
Canadian Dollar (CAD),CAD,AED,2.8775                        
Canadian Dollar (CAD),CAD,GBP,0.5994                        
Canadian Dollar (CAD),CAD,USD,0.7838                        
Canadian Dollar (CAD),CAD,AFN,53.5877
Canadian Dollar (CAD),CAD,ALL,90.0708
Canadian Dollar (CAD),CAD,DZD,90.9677
Canadian Dollar (CAD),CAD,ARS,13.8157
Canadian Dollar (CAD),CAD,BSD,0.7838
Canadian Dollar (CAD),CAD,BHD,0.2953
Canadian Dollar (CAD),CAD,BDT,65.0087
Canadian Dollar (CAD),CAD,BBD,1.5677
Canadian Dollar (CAD),CAD,BMD,0.7838
Canadian Dollar (CAD),CAD,BRL,2.5973
Canadian Dollar (CAD),CAD,BGN,1.3152
Canadian Dollar (CAD),CAD,XOF,442.7272
Canadian Dollar (CAD),CAD,XAF,442.7272
Canadian Dollar (CAD),CAD,CLP,497.3442
Canadian Dollar (CAD),CAD,CNY,5.2
Canadian Dollar (CAD),CAD,COP,2378.9862
