source: https://algs4.cs.princeton.edu/44sp/T,,,
base_currency_complete_name,base_currency,other_currency,other_per_base
Australian Dollar (AUD),AUD,AUD,-
Australian Dollar (AUD),AUD,CAD,-
Australian Dollar (AUD),AUD,EUR,-
Australian Dollar (AUD),AUD,JPY,-
Australian Dollar (AUD),AUD,PKR,-
Australian Dollar (AUD),AUD,AED,-
Australian Dollar (AUD),AUD,GBP,-
Australian Dollar (AUD),AUD,USD,-
Australian Dollar (AUD),AUD,AFN,-
Australian Dollar (AUD),AUD,ALL,-
Australian Dollar (AUD),AUD,DZD,-
Australian Dollar (AUD),AUD,ARS,-
Australian Dollar (AUD),AUD,BSD,-
Australian Dollar (AUD),AUD,BHD,-
Australian Dollar (AUD),AUD,BDT,-
Australian Dollar (AUD),AUD,BBD,-
Australian Dollar (AUD),AUD,BMD,-
Australian Dollar (AUD),AUD,BRL,-
Australian Dollar (AUD),AUD,BGN,-
Australian Dollar (AUD),AUD,XOF,-
Australian Dollar (AUD),AUD,XAF,-
Australian Dollar (AUD),AUD,CLP,-
Australian Dollar (AUD),AUD,CNY,-
Australian Dollar (AUD),AUD,COP,-
Australian Dollar (AUD),AUD,XPF,-
Australian Dollar (AUD),AUD,CRC,-
Australian Dollar (AUD),AUD,HRK,-
Australian Dollar (AUD),AUD,CZK,-
Australian Dollar (AUD),AUD,DKK,-
Australian Dollar (AUD),AUD,DOP,-
Australian Dollar (AUD),AUD,XCD,-
Australian Dollar (AUD),AUD,EGP,-
Australian Dollar (AUD),AUD,EEK,-
Australian Dollar (AUD),AUD,FJD,-
Australian Dollar (AUD),AUD,HKD,-
Australian Dollar (AUD),AUD,HUF,-
Australian Dollar (AUD),AUD,ISK,-
Australian Dollar (AUD),AUD,XDR,-
Australian Dollar (AUD),AUD,INR,-
Australian Dollar (AUD),AUD,IDR,-
Australian Dollar (AUD),AUD,IRR,-
Australian Dollar (AUD),AUD,IQD,-
Australian Dollar (AUD),AUD,ILS,-
Australian Dollar (AUD),AUD,JMD,-
Australian Dollar (AUD),AUD,JOD,-
Australian Dollar (AUD),AUD,KES,-
Australian Dollar (AUD),AUD,KWD,-
Australian Dollar (AUD),AUD,LBP,-
Australian Dollar (AUD),AUD,MYR,-
Australian Dollar (AUD),AUD,MUR,-
Australian Dollar (AUD),AUD,MXN,-
Australian Dollar (AUD),AUD,MAD,-
Australian Dollar (AUD),AUD,NZD,-
Australian Dollar (AUD),AUD,NOK,-
Australian Dollar (AUD),AUD,OMR,-
Australian Dollar (AUD),AUD,PEN,-
Australian Dollar (AUD),AUD,PHP,-
Australian Dollar (AUD),AUD,PLN,-
Australian Dollar (AUD),AUD,QAR,-
Australian Dollar (AUD),AUD,RON,-
Australian Dollar (AUD),AUD,RUB,-
Australian Dollar (AUD),AUD,SAR,-
Australian Dollar (AUD),AUD,SGD,-
Australian Dollar (AUD),AUD,SKK,-
Australian Dollar (AUD),AUD,ZAR,-
Australian Dollar (AUD),AUD,KRW,-
Australian Dollar (AUD),AUD,LKR,-
Australian Dollar (AUD),AUD,SDG,-
Australian Dollar (AUD),AUD,SEK,-
Australian Dollar (AUD),AUD,CHF,-
Australian Dollar (AUD),AUD,TWD,-
Australian Dollar (AUD),AUD,THB,-
Australian Dollar (AUD),AUD,TTD,-
Australian Dollar (AUD),AUD,TND,-
Australian Dollar (AUD),AUD,TRY,-
Australian Dollar (AUD),AUD,VEF,-
Australian Dollar (AUD),AUD,VND,-
Australian Dollar (AUD),AUD,ZMK,-
Canadian Dollar (CAD),CAD,AUD,-
Canadian Dollar (CAD),CAD,CAD,-
Canadian Dollar (CAD),CAD,EUR,-
Canadian Dollar (CAD),CAD,JPY,-
Canadian Dollar (CAD),CAD,PKR,-
Canadian Dollar (CAD),CAD,AED,-
Canadian Dollar (CAD),CAD,GBP,-
Canadian Dollar (CAD),CAD,USD,-
Canadian Dollar (CAD),CAD,AFN,-
Canadian Dollar (CAD),CAD,ALL,-
