Australian Dollar (AUD),AUD
Canadian Dollar (CAD),CAD
Euro (EUR),EUR
Japanese Yen (JPY),JPY
Pakistan Rupee (PKR),PKR
U.A.E Dirham (AED),AED
UK Pound Sterling (GBP),GBP
US Dollar (USD),USD
Afghanistan Afghanis (AFN),AFN
Albania Leke (ALL),ALL
Algeria Dinars (DZD),DZD
Argentina Pesos (ARS),ARS
Bahamas Dollars (BSD),BSD
Bahrain Dinar (BHD),BHD
Bangladesh Taka (BDT),BDT
Barbados Dollars (BBD),BBD
Bermuda Dollars (BMD),BMD
Brazil Reais (BRL),BRL
Bulgaria Leva (BGN),BGN
CFA BCEAO Francs (XOF),XOF
CFA BEAC Francs (XAF),XAF
Chile Pesos (CLP),CLP
China Yuan (CNY),CNY
Colombia Pesos (COP),COP
Comptoirs Francais du Pacifique Francs (XPF),XPF
Costa Rica Colones (CRC),CRC
Croatia Kuna (HRK),HRK
Czech Republic Koruny (CZK),CZK
Danish Krone (DKK),DKK
Dominican Republic Pesos (DOP),DOP
East Caribbean Dollars (XCD),XCD
Egypt Pounds (EGP),EGP
Estonia Krooni (EEK),EEK
Fiji Dollars (FJD),FJD
Hong Kong Dollar (HKD),HKD
Hungary Forint (HUF),HUF
Iceland Kronur (ISK),ISK
IMF Special Drawing Rights (XDR),XDR
Indian Rupee (INR),INR
Indonesia Rupiahs (IDR),IDR
Iran Rials (IRR),IRR
Iraq Dinars (IQD),IQD
Israel New Shekels (ILS),ILS
Jamaica Dollars (JMD),JMD
Jordan Dinars (JOD),JOD
Kenya Shillings (KES),KES
Kuwaiti Dinar (KWD),KWD
Lebanon Pounds (LBP),LBP
Malaysian Ringgit (MYR),MYR
Mauritius Rupees (MUR),MUR
Mexico Pesos (MXN),MXN
Morocco Dirhams (MAD),MAD
NewZealand $ (NZD),NZD
Norwegians Krone (NOK),NOK
Omani Riyal (OMR),OMR
Peru Nuevos Soles (PEN),PEN
Philippines Pesos (PHP),PHP
Poland Zlotych (PLN),PLN
Qatari Riyal (QAR),QAR
Romania New Lei (RON),RON
Russia Rubles (RUB),RUB
Saudi Riyal (SAR),SAR
Singapore Dollar (SGD),SGD
Slovakia Koruny (SKK),SKK
South Africa Rand (ZAR),ZAR
South Korea Won (KRW),KRW
Sri Lanka Rupees (LKR),LKR
Sudan Pounds (SDG),SDG
Swedish Korona (SEK),SEK
Swiss Franc (CHF),CHF
Taiwan New Dollars (TWD),TWD
Thai Bhat (THB),THB
Trinidad and Tobago Dollars (TTD),TTD
Tunisia Dinars (TND),TND
Turkey New Lira (TRY),TRY
Venezuela Bolivares Fuertes (VEF),VEF
Vietnam Dong (VND),VND
Zambia Kwacha (ZMK),ZMK
