As on Wed| Dec 06 2017| 22:45 GMT
base_currency_complete_name,base_currency,other_currency,other_per_base
Australian Dollar (AUD),AUD,AUD,1                        
Australian Dollar (AUD),AUD,CAD,0.9675                        
Australian Dollar (AUD),AUD,EUR,0.641                        
Australian Dollar (AUD),AUD,JPY,84.9317                        
Australian Dollar (AUD),AUD,PKR,79.7478                        
Australian Dollar (AUD),AUD,AED,2.7783                        
Australian Dollar (AUD),AUD,GBP,0.5653                        
Australian Dollar (AUD),AUD,USD,0.7565                        
Australian Dollar (AUD),AUD,AFN,52.144
Australian Dollar (AUD),AUD,ALL,85.7946
Australian Dollar (AUD),AUD,DZD,87.236
Australian Dollar (AUD),AUD,ARS,13.0479
Australian Dollar (AUD),AUD,BSD,0.7565
Australian Dollar (AUD),AUD,BHD,0.2844
Australian Dollar (AUD),AUD,BDT,62.7713
Australian Dollar (AUD),AUD,BBD,1.513
Australian Dollar (AUD),AUD,BMD,0.7565
Australian Dollar (AUD),AUD,BRL,2.448
Australian Dollar (AUD),AUD,BGN,1.2536
Australian Dollar (AUD),AUD,XOF,420.4422
Australian Dollar (AUD),AUD,XAF,420.4422
Australian Dollar (AUD),AUD,CLP,494.6095
Australian Dollar (AUD),AUD,CNY,5.0042
Australian Dollar (AUD),AUD,COP,2276.3188
Australian Dollar (AUD),AUD,XPF,76.4869
Australian Dollar (AUD),AUD,CRC,428.0799
Australian Dollar (AUD),AUD,HRK,4.8363
Australian Dollar (AUD),AUD,CZK,16.4252
Australian Dollar (AUD),AUD,DKK,4.7695
Australian Dollar (AUD),AUD,DOP,36.3576
Australian Dollar (AUD),AUD,XCD,2.0426
Australian Dollar (AUD),AUD,EGP,13.4597
Australian Dollar (AUD),AUD,EEK,0.7565
Australian Dollar (AUD),AUD,FJD,1.5767
Australian Dollar (AUD),AUD,HKD,5.9099
Australian Dollar (AUD),AUD,HUF,201.4523
Australian Dollar (AUD),AUD,ISK,79.097
Australian Dollar (AUD),AUD,XDR,0.5352
Australian Dollar (AUD),AUD,INR,48.8169
Australian Dollar (AUD),AUD,IDR,10239.7849
Australian Dollar (AUD),AUD,IRR,26705.6516
Australian Dollar (AUD),AUD,IQD,904.9574
Australian Dollar (AUD),AUD,ILS,2.6599
Australian Dollar (AUD),AUD,JMD,94.937
Australian Dollar (AUD),AUD,JOD,0.5364
Australian Dollar (AUD),AUD,KES,77.845
Australian Dollar (AUD),AUD,KWD,0.2283
Australian Dollar (AUD),AUD,LBP,1140.4477
Australian Dollar (AUD),AUD,MYR,3.0832
Australian Dollar (AUD),AUD,MUR,25.5203
Australian Dollar (AUD),AUD,MXN,14.2711
Australian Dollar (AUD),AUD,MAD,7.1496
Australian Dollar (AUD),AUD,NZD,1.1004
Australian Dollar (AUD),AUD,NOK,6.2544
Australian Dollar (AUD),AUD,OMR,0.2909
Australian Dollar (AUD),AUD,PEN,2.4477
Australian Dollar (AUD),AUD,PHP,38.3746
Australian Dollar (AUD),AUD,PLN,2.7005
Australian Dollar (AUD),AUD,QAR,2.7537
Australian Dollar (AUD),AUD,RON,2.968
Australian Dollar (AUD),AUD,RUB,44.7819
Australian Dollar (AUD),AUD,SAR,2.8369
Australian Dollar (AUD),AUD,SGD,1.0206
Australian Dollar (AUD),AUD,SKK,0.7565
Australian Dollar (AUD),AUD,ZAR,10.2272
Australian Dollar (AUD),AUD,KRW,827.343
Australian Dollar (AUD),AUD,LKR,116.0419
Australian Dollar (AUD),AUD,SDG,5.0685
Australian Dollar (AUD),AUD,SEK,6.3745
Australian Dollar (AUD),AUD,CHF,0.7485
Australian Dollar (AUD),AUD,TWD,22.701
Australian Dollar (AUD),AUD,THB,24.694
Australian Dollar (AUD),AUD,TTD,5.0991
Australian Dollar (AUD),AUD,TND,1.8828
Australian Dollar (AUD),AUD,TRY,2.9129
Australian Dollar (AUD),AUD,VEF,7.5557
Australian Dollar (AUD),AUD,VND,17198.9125
Australian Dollar (AUD),AUD,ZMK,0.7565
Canadian Dollar (CAD),CAD,AUD,1.0336                        
Canadian Dollar (CAD),CAD,CAD,1                        
Canadian Dollar (CAD),CAD,EUR,0.6625                        
Canadian Dollar (CAD),CAD,JPY,87.7829                        
Canadian Dollar (CAD),CAD,PKR,82.425                        
Canadian Dollar (CAD),CAD,AED,2.8716                        
Canadian Dollar (CAD),CAD,GBP,0.5842                        
Canadian Dollar (CAD),CAD,USD,0.7819                        
Canadian Dollar (CAD),CAD,AFN,53.8946
Canadian Dollar (CAD),CAD,ALL,88.6748
Canadian Dollar (CAD),CAD,DZD,90.1646
Canadian Dollar (CAD),CAD,ARS,13.486
Canadian Dollar (CAD),CAD,BSD,0.7819
Canadian Dollar (CAD),CAD,BHD,0.294
Canadian Dollar (CAD),CAD,BDT,64.8785
Canadian Dollar (CAD),CAD,BBD,1.5638
Canadian Dollar (CAD),CAD,BMD,0.7819
Canadian Dollar (CAD),CAD,BRL,2.5302
Canadian Dollar (CAD),CAD,BGN,1.2957
Canadian Dollar (CAD),CAD,XOF,434.5568
Canadian Dollar (CAD),CAD,XAF,434.5568
Canadian Dollar (CAD),CAD,CLP,511.2139
Canadian Dollar (CAD),CAD,CNY,5.1722
Canadian Dollar (CAD),CAD,COP,2352.7367
Canadian Dollar (CAD),CAD,XPF,79.0546
Canadian Dollar (CAD),CAD,CRC,442.4509
Canadian Dollar (CAD),CAD,HRK,4.9987
Canadian Dollar (CAD),CAD,CZK,16.9766
Canadian Dollar (CAD),CAD,DKK,4.9296
Canadian Dollar (CAD),CAD,DOP,37.5782
Canadian Dollar (CAD),CAD,XCD,2.1112
Canadian Dollar (CAD),CAD,EGP,13.9115
Canadian Dollar (CAD),CAD,EEK,0.7819
Canadian Dollar (CAD),CAD,FJD,1.6297
Canadian Dollar (CAD),CAD,HKD,6.1083
Canadian Dollar (CAD),CAD,HUF,208.2152
Canadian Dollar (CAD),CAD,ISK,81.7523
Canadian Dollar (CAD),CAD,XDR,0.5532
Canadian Dollar (CAD),CAD,INR,50.4558
Canadian Dollar (CAD),CAD,IDR,10583.5426
Canadian Dollar (CAD),CAD,IRR,27602.1817
Canadian Dollar (CAD),CAD,IQD,935.3376
Canadian Dollar (CAD),CAD,ILS,2.7492
Canadian Dollar (CAD),CAD,JMD,98.1241
Canadian Dollar (CAD),CAD,JOD,0.5544
Canadian Dollar (CAD),CAD,KES,80.4584
Canadian Dollar (CAD),CAD,KWD,0.236
Canadian Dollar (CAD),CAD,LBP,1178.7335
Canadian Dollar (CAD),CAD,MYR,3.1867
Canadian Dollar (CAD),CAD,MUR,26.3771
Canadian Dollar (CAD),CAD,MXN,14.7502
Canadian Dollar (CAD),CAD,MAD,7.3896
Canadian Dollar (CAD),CAD,NZD,1.1373
Canadian Dollar (CAD),CAD,NOK,6.4644
Canadian Dollar (CAD),CAD,OMR,0.3006
Canadian Dollar (CAD),CAD,PEN,2.5299
Canadian Dollar (CAD),CAD,PHP,39.6628
Canadian Dollar (CAD),CAD,PLN,2.7911
Canadian Dollar (CAD),CAD,QAR,2.8462
Canadian Dollar (CAD),CAD,RON,3.0676
Canadian Dollar (CAD),CAD,RUB,46.2853
Canadian Dollar (CAD),CAD,SAR,2.9322
Canadian Dollar (CAD),CAD,SGD,1.0548
Canadian Dollar (CAD),CAD,SKK,0.7819
Canadian Dollar (CAD),CAD,ZAR,10.5705
Canadian Dollar (CAD),CAD,KRW,855.1176
Canadian Dollar (CAD),CAD,LKR,119.9376
Canadian Dollar (CAD),CAD,SDG,5.2386
Canadian Dollar (CAD),CAD,SEK,6.5885
Canadian Dollar (CAD),CAD,CHF,0.7736
Canadian Dollar (CAD),CAD,TWD,23.4631
Canadian Dollar (CAD),CAD,THB,25.523
Canadian Dollar (CAD),CAD,TTD,5.2703
Canadian Dollar (CAD),CAD,TND,1.946
Canadian Dollar (CAD),CAD,TRY,3.0107
Canadian Dollar (CAD),CAD,VEF,7.8094
Canadian Dollar (CAD),CAD,VND,17776.2937
Canadian Dollar (CAD),CAD,ZMK,0.7819
Euro (EUR),EUR,AUD,1.5602                        
Euro (EUR),EUR,CAD,1.5095                        
Euro (EUR),EUR,EUR,1                        
Euro (EUR),EUR,JPY,132.507                        
Euro (EUR),EUR,PKR,124.4193                        
Euro (EUR),EUR,AED,4.3346                        
Euro (EUR),EUR,GBP,0.8819                        
Euro (EUR),EUR,USD,1.1803                        
Euro (EUR),EUR,AFN,81.353
Euro (EUR),EUR,ALL,133.8533
Euro (EUR),EUR,DZD,136.1022
Euro (EUR),EUR,ARS,20.3569
Euro (EUR),EUR,BSD,1.1803
Euro (EUR),EUR,BHD,0.4438
Euro (EUR),EUR,BDT,97.9332
Euro (EUR),EUR,BBD,2.3606
Euro (EUR),EUR,BMD,1.1803
Euro (EUR),EUR,BRL,3.8193
Euro (EUR),EUR,BGN,1.9558
Euro (EUR),EUR,XOF,655.957
Euro (EUR),EUR,XAF,655.957
Euro (EUR),EUR,CLP,771.6699
Euro (EUR),EUR,CNY,7.8074
Euro (EUR),EUR,COP,3551.4212
Euro (EUR),EUR,XPF,119.3317
Euro (EUR),EUR,CRC,667.8731
Euro (EUR),EUR,HRK,7.5455
Euro (EUR),EUR,CZK,25.626
Euro (EUR),EUR,DKK,7.4412
Euro (EUR),EUR,DOP,56.7237
Euro (EUR),EUR,XCD,3.1868
Euro (EUR),EUR,EGP,20.9993
Euro (EUR),EUR,EEK,1.1803
Euro (EUR),EUR,FJD,2.46
Euro (EUR),EUR,HKD,9.2204
Euro (EUR),EUR,HUF,314.2977
Euro (EUR),EUR,ISK,123.4039
Euro (EUR),EUR,XDR,0.835
Euro (EUR),EUR,INR,76.1622
Euro (EUR),EUR,IDR,15975.7011
Euro (EUR),EUR,IRR,41665.0851
Euro (EUR),EUR,IQD,1411.8782
Euro (EUR),EUR,ILS,4.1499
Euro (EUR),EUR,JMD,148.1169
Euro (EUR),EUR,JOD,0.8368
Euro (EUR),EUR,KES,121.4507
Euro (EUR),EUR,KWD,0.3562
Euro (EUR),EUR,LBP,1779.2808
Euro (EUR),EUR,MYR,4.8103
Euro (EUR),EUR,MUR,39.8158
Euro (EUR),EUR,MXN,22.2653
Euro (EUR),EUR,MAD,11.1545
Euro (EUR),EUR,NZD,1.7168
Euro (EUR),EUR,NOK,9.7579
Euro (EUR),EUR,OMR,0.4538
Euro (EUR),EUR,PEN,3.8188
Euro (EUR),EUR,PHP,59.8704
Euro (EUR),EUR,PLN,4.2132
Euro (EUR),EUR,QAR,4.2962
Euro (EUR),EUR,RON,4.6306
Euro (EUR),EUR,RUB,69.867
Euro (EUR),EUR,SAR,4.4261
Euro (EUR),EUR,SGD,1.5923
Euro (EUR),EUR,SKK,1.1803
Euro (EUR),EUR,ZAR,15.956
Euro (EUR),EUR,KRW,1290.7873
Euro (EUR),EUR,LKR,181.044
Euro (EUR),EUR,SDG,7.9076
Euro (EUR),EUR,SEK,9.9452
Euro (EUR),EUR,CHF,1.1677
Euro (EUR),EUR,TWD,35.4171
Euro (EUR),EUR,THB,38.5267
Euro (EUR),EUR,TTD,7.9555
Euro (EUR),EUR,TND,2.9374
Euro (EUR),EUR,TRY,4.5446
Euro (EUR),EUR,VEF,11.7881
Euro (EUR),EUR,VND,26833.0525
Euro (EUR),EUR,ZMK,1.1803
Japanese Yen (JPY),JPY,AUD,0.0118                        
Japanese Yen (JPY),JPY,CAD,0.0114                        
Japanese Yen (JPY),JPY,EUR,0.0075                        
Japanese Yen (JPY),JPY,JPY,1                        
Japanese Yen (JPY),JPY,PKR,0.939                        
Japanese Yen (JPY),JPY,AED,0.0327                        
Japanese Yen (JPY),JPY,GBP,0.0067                        
Japanese Yen (JPY),JPY,USD,0.0089                        
Japanese Yen (JPY),JPY,AFN,0.614
Japanese Yen (JPY),JPY,ALL,1.0102
Japanese Yen (JPY),JPY,DZD,1.0271
Japanese Yen (JPY),JPY,ARS,0.1536
Japanese Yen (JPY),JPY,BSD,0.0089
Japanese Yen (JPY),JPY,BHD,0.0033
Japanese Yen (JPY),JPY,BDT,0.7391
Japanese Yen (JPY),JPY,BBD,0.0178
Japanese Yen (JPY),JPY,BMD,0.0089
Japanese Yen (JPY),JPY,BRL,0.0288
Japanese Yen (JPY),JPY,BGN,0.0148
Japanese Yen (JPY),JPY,XOF,4.9504
Japanese Yen (JPY),JPY,XAF,4.9504
Japanese Yen (JPY),JPY,CLP,5.8236
Japanese Yen (JPY),JPY,CNY,0.0589
Japanese Yen (JPY),JPY,COP,26.8018
Japanese Yen (JPY),JPY,XPF,0.9006
Japanese Yen (JPY),JPY,CRC,5.0403
Japanese Yen (JPY),JPY,HRK,0.0569
Japanese Yen (JPY),JPY,CZK,0.1934
Japanese Yen (JPY),JPY,DKK,0.0562
Japanese Yen (JPY),JPY,DOP,0.4281
Japanese Yen (JPY),JPY,XCD,0.024
Japanese Yen (JPY),JPY,EGP,0.1585
Japanese Yen (JPY),JPY,EEK,0.0089
Japanese Yen (JPY),JPY,FJD,0.0186
Japanese Yen (JPY),JPY,HKD,0.0696
Japanese Yen (JPY),JPY,HUF,2.3719
